City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia
Rome,OSM,Abhishek,Tourism,Palatine Hill,帕拉蒂尼山,https://batpad.github.io/quick-geocode/?name=Palatine%20Hill&city=Rome,"https://www.google.com/maps/search/Palatine+Hill,+Rome/",node,365475871,"https://www.google.co.in/maps/place/Palatine+Hill/@41.8894025,12.4873026,21z/data=!4m5!3m4!1s0x132f61b5a34f37f3:0x9d9bf39cc11700c2!8m2!3d41.8894036!4d12.4874662",http://www.openstreetmap.org/?mlat=41.8894036&mlon=12.4874662#map=18/41.8894025/12.4873026&layers=D,osm-nominatim,,,,,Q200642,it:Palatino
Rome,OSM,Abhishek,Tourism,Piazza del Popolo,罗马人民广场,https://batpad.github.io/quick-geocode/?name=Piazza%20del%20Popolo&city=Rome,"https://www.google.com/maps/search/Piazza+del+Popolo,+Rome/",way,22955551,,#N/A,quick-geocode,,,,,Q824997,it:Piazza del Popolo (Roma)
Rome,OSM,Abhishek,Tourism,Santa Maria del Popolo,人民圣母教堂,https://batpad.github.io/quick-geocode/?name=Santa%20Maria%20del%20Popolo&city=Rome,"https://www.google.com/maps/search/Santa+Maria+del+Popolo,+Rome/",way,52430153,"https://www.google.co.in/maps/place/Basilica+Parrocchiale+Santa+Maria+del+Popolo/@41.91145,12.476311,15z/data=!4m5!3m4!1s0x0:0xb8093116ed4429ad!8m2!3d41.91145!4d12.476311",http://www.openstreetmap.org/?mlat=41.91145&mlon=12.476311#map=18/41.91145/12.476311&layers=D,osm-nominatim,,,Basilica di Santa Maria del Popolo,,Q869513,it:Basilica di Santa Maria del Popolo
Rome,OSM,Abhishek,Tourism,Santa Maria in Trastevere,圣母玛利亚广场,https://batpad.github.io/quick-geocode/?name=Santa%20Maria%20in%20Trastevere&city=Rome,"https://www.google.com/maps/search/Santa+Maria+in+Trastevere,+Rome/",way,51368975,"https://www.google.co.in/maps/place/Basilica+of+Our+Lady+in+Trastevere/@41.8894657,12.4696635,15z/data=!4m13!1m7!3m6!1s0x0:0x366752f3f04c4022!2sBasilica+of+Our+Lady+in+Trastevere!3b1!8m2!3d41.8894657!4d12.4696635!3m4!1s0x0:0x366752f3f04c4022!8m2!3d41.8894657!4d12.4696635",http://www.openstreetmap.org/?mlat=41.8894657&mlon=12.4696635!3m4!1s0x0:0x366752f3f04c4022!8m2!/?mlat=41.8894657&mlon=12.4696635!3m4!1s0x0:0x366752f3f04c4022!8m2!/?mlat=41.8894657&mlon=12.4696635#map=18/41.8894657/12.4696635&layers=D,osm-nominatim,,,Basilica di Santa Maria in Trastevere,,Q1137391,it:Basilica di Santa Maria in Trastevere
Rome,OSM,Abhishek,Tourism,St. Peter's Basilica,圣彼得大教堂,https://batpad.github.io/quick-geocode/?name=St.%20Peter's%20Basilica&city=Rome,"https://www.google.com/maps/search/St.+Peter's+Basilica,+Rome/",relation,2754121,,#N/A,osm-nominatim,,,,,Q12512,en:St. Peter's Basilica
Rome,OSM,Abhishek,Tourism,Temple of Portunus,波图努斯神庙,https://batpad.github.io/quick-geocode/?name=Temple%20of%20Portunus&city=Rome,"https://www.google.com/maps/search/Temple+of+Portunus,+Rome/",way,251331418,,#N/A,quick-geocode,,,,,Q849241,it:Tempio di Portuno
Rome,OSM,Abhishek,Tourism,Terme di Diocleziano,戴克里先浴场,https://batpad.github.io/quick-geocode/?name=Terme%20di%20Diocleziano&city=Rome,"https://www.google.com/maps/search/Terme+di+Diocleziano,+Rome/",node,248743046,,#N/A,quick-geocode,,,,,Q836108,
Rome,OSM,Abhishek,Tourism,Vatican Museums (Musei vaticani),梵蒂冈博物馆,https://batpad.github.io/quick-geocode/?name=Vatican%20Museums%20(Musei%20vaticani)&city=Rome,"https://www.google.com/maps/search/Vatican+Museums+(Musei+vaticani),+Rome/",way,255959482,,#N/A,quick-geocode,,,,,Q182955,en:Vatican Museums
Rome,OSM,Abhishek,Tourism,Via della Conciliazione,协和大街,https://batpad.github.io/quick-geocode/?name=Via%20della%20Conciliazione&city=Rome,"https://www.google.com/maps/search/Via+della+Conciliazione,+Rome/",way,4949596,,#N/A,quick-geocode,,,,,Q1140395,en:Via della Conciliazione
Rome,OSM,Abhishek,Tourism,Villa Farnesina,法内仙纳庄园,https://batpad.github.io/quick-geocode/?name=Villa%20Farnesina&city=Rome,"https://www.google.com/maps/search/Villa+Farnesina,+Rome/",way,86249135,,#N/A,quick-geocode,,,,,Q1126723,it:Villa Farnesina
