City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,tt,tr,nap,li,lv,lt,jam,tk,th,tg,udm,sgs,pcd,ta,yi,ceb,yo,kk-kz,de,da,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,fr,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,uk,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,nds,yue,xmf,co,nso,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,te,stq,ms,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,su,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,kaa,mt,mrj,fy,frp,fa,mai,fi,mzn,gom,ab,sa,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,km,or,sk,si,sh,so,ku,sl,sc,ky,rgn,sw,se,sd
NYC,OSM,,Shopping,Time Warner Center,时代华纳中心,https://batpad.github.io/quick-geocode/?name=Time%20Warner%20Center&city=NYC,"https://www.google.com/maps/search/Time+Warner+Center,+NYC/",way,167923911,,#N/A,,-73.98287114,40.76850368,Time Warner Center,,Q842578,en:Time Warner Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time Warner Center,,,,,,,,,,,,,,,,,,,,Time Warner Center,时代华纳中心,,,,Time Warner Center,,,,Time Warner Center,,,Time Warner Center,,,Тайм-Уорнер-Центр,,,,,,Time Warner Center,,,,,,Центр Тайм-Ворнер,,,,,,,,,,タイムワーナーセンター,,,,,,,,,,,,,,Time Warner Center,,,,,,Time Warner Center,,,,,Time Warner Center,,,,,,,,,Time Warner Center North Tower,,,,,,,,Time Warner Center,,,,,,,מרכז טיים וורנר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time Warner Center,,,Time Warner Center,,,,,,,,,,,,,,,,,,,,,,,تایم وارنر سنتر,,Time Warner Center,,,,,,,,,,,,,,타임 워너 센터,,,,Time Warner Center,,,,,,,,,,,
NYC,OSM,,Tourism,Al Hirschfeld Theater,艾尔赫施菲德剧院,https://batpad.github.io/quick-geocode/?name=Al%20Hirschfeld%20Theater&city=NYC,"https://www.google.com/maps/search/Al+Hirschfeld+Theater,+NYC/",way,265320169,,#N/A,,-73.98934,40.75926,Al Hirschfeld Theater,,Q2829346,en:Al Hirschfeld Theatre,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,,,,Al Hirschfeld Theatre,,,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,阿爾菲爾德劇院,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,,,,,Al Hirschfeld Theatre,,,,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,,,,,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,,,,,,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,,,,,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,,,,,,,,,Al Hirschfeld Theatre,,,,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,,,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,,,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,,,,,Al Hirschfeld Theatre,,,Al Hirschfeld Theatre,,,,,,Al Hirschfeld Theatre,,Al Hirschfeld Theatre,Al Hirschfeld Theatre,,
NYC,OSM,,Tourism,Broadway,百老汇,https://batpad.github.io/quick-geocode/?name=Broadway&city=NYC,"https://www.google.com/maps/search/Broadway,+NYC/",way,222299275,,#N/A,,-74.0121727,40.70783463,Broadway,,Q11260,en:Broadway (Manhattan),,Broadway,,,,,,,,,,,,Broadway,,,Broadway,,,,,,,,,Broadway,,Broadway,,Brodvėjus,,,บรอดเวย์,,,,,,בראדוועי,,,,Broadway,Broadway,,,,,,,,,,,,Broadway,,,,,,Broadway,Broadway,百老匯,,,,Broadway,,,,Broadway,,,Broadway,,Broadway,Бродвей,,Broadway,,,,Broadway,,,,Брадвей,Бродуей,Бродвей,,Broadway,,,,,,Broadway,Broadway,ブロードウェイ,,,,Broadway,,,,,,,,,,Broadway,,,Broadway,,,Broadway,,,,,Broadway,,,,,,,Broadway,,Broadway,,Բրոդվեյ,,Broadway,,,,Broadway,,,,,,,ברודוויי,,,,,,,,,,,,,,,,,,,,,,,,Broadway,,Broadway,,,برودواي,,,,,,Brodvey küçəsi,,Broadway,,,Broadway,Broadway,,,Broadway,,,,,,,,,,,,,,,,,,,خیابان برادوی,,Broadway,,,,,Broadway,,ბროდვეი,,,,,Бродвеј,,브로드웨이,Broadway,,,Broadway,,Broadway,,,,,,,Broadway,,
NYC,OSM,,Tourism,Bronx Zoo,布朗克斯动物园,https://batpad.github.io/quick-geocode/?name=Bronx%20Zoo&city=NYC,"https://www.google.com/maps/search/Bronx+Zoo,+NYC/",way,38839347,,#N/A,,-73.8771695,40.8491573,Bronx Zoo,,Q739792,en:Bronx Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx Hayvanat Bahçesi,,,,,,,,,,,,,,,,,Bronx Zoo,Bronx Zoo,,,,,,,,,,,,,布朗克斯動物園,,,,,Bestoĝardeno de Bronkso,Bronx Zoo,布隆克斯動物園,,,,Bronx Zoo,,,,,,,Zoológico del Bronx,,,Бронкский зоопарк,,,,布朗克斯动物园,,Bronx Zoo,,,,,,,,,,,,,,,,ブロンクス動物園,,,,,,,,,,,,,,Zoo del Bronx,,,,,,Bronx Zoo,,,,,Zoológico do Bronx,,Palahayupan ng Bronx,,,,,,,,,,,,,,,,,,,,,,גן החיות ברונקס,,,,,,,,,,,,,,,,,,,,,,,Sở thú Bronx,,,Zoo del Bronx,,,حديقة حيوانات برونكس,,,,,,,,Bronx Zoo,,,Bronx Zoo,,,,Bronx Zoo,,,,,,,,,,,,,,,,,,,باغ‌وحش برانکس,,Bronxin eläintarha,,,,,,,ბრონქსის ზოოპარკი,,,,,,Bronx Zoo,브롱크스 동물원,Bronx Zoo,,,Bronx ZOO,,,,,,,,,,,
NYC,OSM,,Tourism,Chelsea,雀儿喜,https://batpad.github.io/quick-geocode/?name=Chelsea&city=NYC,"https://www.google.com/maps/search/Chelsea,+NYC/",node,158869539,,#N/A,,-74.00233028,40.74649266,Chelsea,,Q1069129,,,,,,,,,,,,,,,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,טשעלסי,,,,Chelsea,,,,,,,,,,,,,Chelsea,,,,,,,Chelsea,雀兒喜,,,,Chelsea,,,,,,,Chelsea,,Chelsea,Челси (Манхэттен),,,,,,,,,,,,,,,,,,,,,,チェルシー (ニューヨーク),,,,,,,,,,,,,,,,,,,,Chelsea,,,,,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,מנהטן/צ'לסי,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea,,,,,,,,,,,,,,Chelsea,,,,Chelsea (New York),,,,,,,,,,,,,,,,,,,,,Chelsea,,,,,"Chelsea, Manhattan",,ჩელსი (მანჰეტენი),,,,,,,첼시 (맨해튼),"Chelsea, Manhattan",,,Chelsea (Manhattan),,,,,,,,,,,
NYC,OSM,,Tourism,Discovery Times Square,发现时代广场,https://batpad.github.io/quick-geocode/?name=Discovery%20Times%20Square&city=NYC,"https://www.google.com/maps/search/Discovery+Times+Square,+NYC/",node,2717293825,,#N/A,,-73.98727076,40.75771885,Discovery Times Square,,,en:Discovery Times Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discovery Times Square Exposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discovery Times Square Exposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Duffy Square,杜菲广场,https://batpad.github.io/quick-geocode/?name=Duffy%20Square&city=NYC,"https://www.google.com/maps/search/Duffy+Square,+NYC/",relation,4169781,,#N/A,,-73.9847463,40.75881651,Duffy Square,,Q901251,en:Duffy Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duffy Square,,,,,,,,,,,,,,,,,,,,Duffy Square,杜非廣場,,,,Duffy Square,,,,,,,Duffy Square,,,,,,,,,,,,,,,,,,,,,,,,,ダフィー・スクエア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duffy Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,더피 광장,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Grace Church,恩典堂,https://batpad.github.io/quick-geocode/?name=Grace%20Church&city=NYC,"https://www.google.com/maps/search/Grace+Church,+NYC/",way,160947235,,#N/A,,-73.9909102,40.7319828,Grace Church,,Q3916756,en:Grace Church (Manhattan),,,,,,,,,,,,恩典堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恩典堂,,,,恩典堂,,,,,,Grace Church,恩典堂,,,,,,,,,,,iglesia de Gracia y Dependencias,,,,,,,,,,,,,,,,,,,,,,,,,グレース教会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Grand Central Terminal,大中央车站,https://batpad.github.io/quick-geocode/?name=Grand%20Central%20Terminal&city=NYC,"https://www.google.com/maps/search/Grand+Central+Terminal,+NYC/",way,265947358,,#N/A,,-73.97727249,40.7527449,Grand Central Terminal,osm ,Q11290,en:Grand Central Terminal,,,,,,,Grand Central Chhia-thâu,,,,,,,Grand Central,,,,,,,,Grandis Statio Terminalis Centralis,,,,Grand Central Terminali,,,,,,,,,,,,கிராண்ட் சென்ட்ரல் முனையம்,,,,,Grand Central Terminal,Grand Central Terminal,,,,,,,,,,,,,,,,,Τερματικός Σταθμός Γκραντ Σέντραλ,Granda Centra Stacidomo,Grand Central Terminal,大中央車站,,,,Grand Central Terminal,,,,Grand Central Terminal,,,Grand Central Terminal,,Grand Central Terminal,Центральный вокзал Нью-Йорка,,,,,,,,,,Цэнтральны вакзал Нью-Ёрка,,Гранд Сентрал Термінал,,,,,,,,,,グランド・セントラル駅,,,,Grand Central Terminal,,,,,,,,,,Grand Central Terminal,,,Gorsaf reilffordd Grand Central,,,Grand Central Terminal,,,,,Grand Central,,,,,,,,,Grand Central Terminal,,,,,,,,Grand Central Terminal,,,,,,,תחנת גרנד סנטרל,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Central Terminal,,,محطة غراند سنترال,,,,,,,,Grand Central Terminal,,,Grand Central Terminal,,,,Grand Central Terminal,,,,,,,,,,,,,,,,,,,ترمینال گراند سنترال,,Grand Central Terminal,,,,,Grand Central Terminal,,გრანდ სენტრალ ტერმინალი,,,,,,,그랜드 센트럴 터미널,Grand Central Terminal,,,Grand Central Terminal,,,,,,,,,,,
NYC,OSM,,Tourism,"Intrepid Sea,Air & Space Museum",无畏号海空博物馆,"https://batpad.github.io/quick-geocode/?name=Intrepid%20Sea,Air%20&%20Space%20Museum&city=NYC","https://www.google.com/maps/search/Intrepid+Sea,Air+&+Space+Museum,+NYC/",way,265357846,,#N/A,,-73.99931544,40.76460624,Intrepid Sea Museum,,Q952270,"en:Intrepid Sea, Air & Space Museum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intrepid Sea-Air-Space Museum,,,,,,,,,,,,,"Intrepid Sea, Air & Space Museum",,,,,,,"Intrepid Sea, Air & Space Museum",無畏號海、空暨太空博物館,,,,Intrepid Sea-Air-Space Museum,,,,,,,Intrepid Sea-Air-Space Museum,,"Intrepid Sea, Air & Space Museum",Interpid air museum,,,,,,,,,,,,,,,,,,,,,,イントレピッド海上航空宇宙博物館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intrepid Sea-Air-Space Museum,,,,,,,,,,,,,,,מוזיאון אינטרפיד,,,,,,,,,,,,,,,,,,,,,,,,,,Intrepid Sea-Air-Space Museum,,,,,,,,,,,,,,"Intrepid Sea, Air & Space Museum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Intrepid Sea, Air & Space Museum",,,,,,,,,인트레피드 해양항공우주박물관,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Jacqueline Kennedy Onassis Reservoir,杰奎琳肯尼迪奥纳西斯水库,https://batpad.github.io/quick-geocode/?name=Jacqueline%20Kennedy%20Onassis%20Reservoir&city=NYC,"https://www.google.com/maps/search/Jacqueline+Kennedy+Onassis+Reservoir,+NYC/",way,6678417,,#N/A,,-73.962078,40.7854802,Jacqueline Kennedy Onassis Reservoir,,Q1190219,en:Jacqueline Kennedy Onassis Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacqueline Kennedy Onassis Reservoir,,,,,Reservoir,,,,,,,Jacqueline Kennedy Onassis Reservoir,,,Жаклин Кеннеди Онассис,,,,,,,,,,Вадасховішча Жаклін Кенэдзі Анасіс,,,,,,,,,,,,ジャクリーン・ケネディ・オナシス貯水池,,,,,,,,,,,,,,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacqueline Kennedy Onassis Reservoir,,,,,,,,,,,,,,Jacqueline Kennedy Onassis Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재클린 케네디 오나시스 저수지,Jacqueline Kennedy Onassis Reservoir,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Metropolitan Museum of Art,大都会艺术博物馆,https://batpad.github.io/quick-geocode/?name=Metropolitan%20Museum%20of%20Art&city=NYC,"https://www.google.com/maps/search/Metropolitan+Museum+of+Art,+NYC/",relation,3698894,,#N/A,,-73.96404774,40.77944136,Metropolitan Museum of Art,,Q160236,en:Metropolitan Museum of Art,,,Metropolitan Museum of Art,Музеј Метрополитен,,,,Muzej Metropoliten,,,,大都會藝術博物館,,,An Músaem Ealaíne Meitreapholaiteach,,,,,,,Museum Artium Metropolitanum,,,,Metropolitan Museum of Art,,,Metropoles mākslas muzejs,Metropoliteno muziejus,,,พิพิธภัณฑ์ศิลปะเมโทรโพลิทัน,,,,,,,,,,Metropolitan Museum of Art,Metropolitan Museum of Art,,,,,,,,,大都会艺术博物馆,,,,大都會藝術博物館,,,,Μητροπολιτικό Μουσείο Τέχνης,Metropolita Muzeo de Arto,Metropolitan Museum of Art,大都會藝術博物館,,,,Metropolitan Museum of Art,,,,Metropolitan Museum of Art,Metropolitani muuseum,,Museo Metropolitano de Arte,,Metropolitan Museum of Art,Метрополитен-музей,,,,大都会艺术博物馆,,Metropolitan Museum of Art,,,,Метраполітэн-музей,Музей на изкуството „Метрополитън”,Музей мистецтва Метрополітен,,,大都会艺术博物馆,,,,,,Metropolitan Museum of Art,メトロポリタン美術館,,,,Metropolitan Museum of Art,,Мэтраполітэн,,,,大都會藝術博物館,,,,Metropolitan Museum of Art,,,Yr Amgueddfa Gelf Fetropolitan,,,Metropolitní muzeum umění,,,,,Metropolitan Museum of Art,大都會藝術博物館,,,,,,,,Metropolitan Museum of Art,,Մետրոպոլիտեն թանգարան,,Metropolitan,,,,Metropolitan Művészeti Múzeum,,,,,میٹروپولیٹن میوزیم آف آرٹ,,מוזיאון המטרופוליטן לאמנות,,,,,,മെട്രോപൊളിറ്റൻ മ്യൂസിയം ഒഫ് ആർട്ട്,,,Метрополитен,,,,,,,,,,,,,,Metropolitan Museum of Art,,,Metropolitan Museum of Art,,,متحف المتروبوليتان للفنون,,,,,,Metropoliten muzeyi,,Metropolitan Museum of Art,,,Metropolitan Museum of Art,Metropolitan Museum of Art,,,Metropolitan Museum of Art,,,,,,,,,,,,,,,,,Metropolitan Museum of Art,,موزه متروپولیتن نیویورک,,Metropolitan Museum of Art,متروپولیتن موزه,,,,,Metropolitan Museum of Art,მეტროპოლიტენის ხელოვნების მუზეუმი,,,مۆزەخانەی میترۆپۆلیتەنی ھونەر,Метрополитен (мұражай),Музеј Метрополитен,,메트로폴리탄 미술관,Metropolitan Museum of Art,,,Metropolitan Museum of Art,,Metropolitan,,,,,,,,,
NYC,OSM,,Tourism,New York Historical Society,纽约历史协会,https://batpad.github.io/quick-geocode/?name=New%20York%20Historical%20Society&city=NYC,"https://www.google.com/maps/search/New+York+Historical+Society,+NYC/",relation,3606825,,#N/A,,-73.97408982,40.77925047,New York Historical Society,,Q1059456,en:New-York Historical Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New-York Historical Society,,,,,,,,,,,,,,,,,,,Novjorka Historia Societo,New-York Historical Society,,,,,New York Historical Society,,,,,,,,,,Нью-Йоркское историческое общество,,,,,,,,,,,,,,,,,,,,,,ニューヨーク州歴史協会,,,,,,,,,,,,,,,,,,,,,,,,,New-York Historical Society,,,,,,,,,New-York Historical Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New-York Historical Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,뉴욕 역사 협회,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Rose Center for Earth and Space,罗丝地球环境科学中心,https://batpad.github.io/quick-geocode/?name=Rose%20Center%20for%20Earth%20and%20Space&city=NYC,"https://www.google.com/maps/search/Rose+Center+for+Earth+and+Space,+NYC/",way,388436810,"https://www.google.com/maps/place/Rose+Center+for+Earth+%26+Space/@40.7815438,-73.9732431,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2588fe8d6d0a3:0xb292c76c2ac848f1!8m2!3d40.7815438!4d-73.9732431",http://www.openstreetmap.org/?mlat=40.7815438&mlon=-73.9732431#map=18/40.7815438/-73.9732431&layers=D,,-73.9732729,40.7814411,Rose Center,,Q217717,en:American Museum of Natural History,,,,,,,,,,,,美國自然史博物館,,,,,,,,,,Museum Historiae Naturalis Americanum,,,,Amerikan Doğa Tarihi Müzesi,,,,,,,,,,,,,אמעריקאנער מוזיי פון נאטירלעכער היסטאריע,,,,American Museum of Natural History,American Museum of Natural History,,,,,,,,,美国自然史博物馆,,,,美國自然史博物館,,,,,Usona Muzeo de Natura Historio,American Museum of Natural History,美國自然史博物館,,,,musée américain d'histoire naturelle,,,,,,,Museo Americano de Historia Natural,,,Американский музей естественной истории,,,,美国自然史博物馆,,,,,,,,Американський музей природознавства,,,美国自然史博物馆,,,,,,,アメリカ自然史博物館,,,,,,,,,,,,,,Museu Americà d'Història Natural,,,,,,Americké přírodovědné muzeum,,,,,Museu Americano de História Natural,美國自然史博物館,,,,,,,,Amerykańskie Muzeum Historii Naturalnej,,Ամերիկյան բնագիտական թանգարան,,,,,,,,,,,امریکن میوزیم آف نیچرل ہسٹری,,המוזיאון האמריקאי לתולדות הטבע,,,,,,,,,,,,,,,,,,,,,,,Bảo tàng Lịch sử Tự nhiên Hoa Kỳ,,,American Museum of Natural History,,,المتحف الأمريكي للتاريخ الطبيعي,,,,,,,,Museum Sejarah Alam Amerika,,,American Museum of Natural History,,,,American Museum of Natural History,,,,,,,,,,,,,,,,,,,موزه تاریخ طبیعی آمریکا,,American Museum of Natural History,,,,,,,ამერიკის ბუნების ისტორიის მუზეუმი,,,,,,,미국 자연사 박물관,American Museum of Natural History,,,American Museum of Natural History,,,,,Ameriški prirodoslovni muzej,,,,,,
NYC,OSM,,Tourism,Schomburg Center for Research in Black Culture,尚博格黑人文化研究中心,https://batpad.github.io/quick-geocode/?name=Schomburg%20Center%20for%20Research%20in%20Black%20Culture&city=NYC,"https://www.google.com/maps/search/Schomburg+Center+for+Research+in+Black+Culture,+NYC/",way,271825823,,#N/A,,-73.94024723,40.81439483,Schomburg Center,,Q1060566,en:Schomburg Center for Research in Black Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schomburg Center for Research in Black Culture,尚博格黑人文化研究中心,,,,Arthur Schomburg Center for Research in Black Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ショーンバーグ黒人文化研究センター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schomburg Center for Research in Black Culture,,,Arthur Schomburg Center for Research in Black Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,숌버그 흑인 자료 도서관,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,The Ziegfeld,齐格菲尔德,https://batpad.github.io/quick-geocode/?name=The%20Ziegfeld&city=NYC,"https://www.google.com/maps/search/The+Ziegfeld,+NYC/",node,2708133516,"https://www.google.com/maps/place/Bow+Tie+Cinemas+Ziegfeld+Theater/@40.7631786,-73.9798106,17z/data=!3m1!4b1!4m5!3m4!1s0x89c258f9b3b4fb55:0xe44d5fa3a6e019f2!8m2!3d40.7631786!4d-73.9798106",http://www.openstreetmap.org/?mlat=40.7631786&mlon=5fa3a6e019f2!8m2!/?mlat=40.7631786&mlon=-73.9798106#map=18/40.7631786/-73.9798106&layers=D,,-73.96742,40.76565,The Ziegfeld,aproximately here,,en:Ziegfeld Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziegfeld Theatre,,,,,,,,,,,,,,,,,,,,Ziegfeld Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Washington Square Park,华盛顿广场公园,https://batpad.github.io/quick-geocode/?name=Washington%20Square%20Park&city=NYC,"https://www.google.com/maps/search/Washington+Square+Park,+NYC/",way,22899302,,#N/A,,-73.9975953,40.7308858,Washington Square Park,,Q909592,en:Washington Square Park,,,,,,,,,,,,華盛頓廣場公園,,,,,,,,,,,,,,Washington Square Park,,,,,,,,,,,,,,,,,Washington Square Park,Washington Square Park,,,,,,,,,华盛顿广场公园,,,,華盛頓廣場公園,,,,,,Washington Square Park,華盛頓廣場公園,,,,Washington Square Park,,,,,,,Washington Square Park,,,Вашингтон-Сквер-парк,,,,,,,,,,,,,,,,,,,,,,ワシントン・スクエア公園,,,,,,,,,,,,,,Washington Square Park,,,,,,,,,,,Washington Square Park,,,,,,,,,Washington Square Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington Square Park,,,واشنطون سكوير بارك,,,,,,,,Washington Square Park,,,Washington Square Park,,,,Washington Square Park,,,,,,,,,,,,,,,,,,,,,Washington Square Park,,,,,,,,,,,,,,워싱턴 스퀘어 공원,Washington Square Park,,,,,,,,,,,,,,
NYC,OSM,,Tourism,Whitney Museum of American Art,惠特尼美洲艺术博物馆,https://batpad.github.io/quick-geocode/?name=Whitney%20Museum%20of%20American%20Art&city=NYC,"https://www.google.com/maps/search/Whitney+Museum+of+American+Art,+NYC/",way,288749896,,#N/A,,-74.0088867,40.7396201,Whitney Museum,,Q639791,en:Whitney Museum of American Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitney Museum of American Art,Whitney Museum of American Art,,,,,,,,,,,,,,,,,Μουσείο Γουίτνεϊ,Muzeo Whitney de Usona Arto,Whitney Museum of American Art,惠特尼美术馆,,,,Whitney Museum of American Art,,,,,,,Museo Whitney de Arte Estadounidense,,,Музей американского искусства Уитни,,,,,,,,,,,,,,,,,,,,,,ホイットニー美術館,,,,,,,,,,,,,,Whitney Museum of American Art,,,,,,Whitney Museum of American Art,,,,,Whitney Museum of American Art,,,,,,,,,Whitney Museum of American Art,,,,,,,,,,,,,,,מוזיאון ויטני לאמנות אמריקאית,,,,,,,,,,,,,,,,,,,,,,,,,,Whitney Museum of American Art,,,,,,,,,,,,,,Whitney Museum of American Art,,,,Whitney Museum of American Art,,,,,,,,,,,,,,,,,,,,,Whitney Museum of American Art,,,,,,,უიტნის ამერიკული ხელოვნების მუზეუმი,,,,,,,휘트니 미술관,Whitney Museum of American Art,,,Whitney Museum of American Art,,,,,,,,,,,
