City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia
Istanbul,OSM,jothi,Tourism,Egyptian Bazaar,埃及市场,https://batpad.github.io/quick-geocode/?name=Egyptian%20Bazaar&city=Istanbul,"https://www.google.com/maps/search/Egyptian+Bazaar,+Istanbul/",way,24234971,,#N/A,osm-nominatim,,,Egyptian (Spice) Bazaar,Name is different,,tr:Mısır Çarşısı
Istanbul,OSM,jothi,Tourism,Grand Bazaar,大巴扎市场,https://batpad.github.io/quick-geocode/?name=Grand%20Bazaar&city=Istanbul,"https://www.google.com/maps/search/Grand+Bazaar,+Istanbul/",way,303807317,"https://www.google.co.in/maps/place/Grand+Bazaar/@41.0106883,28.9680179,21z/data=!4m12!1m6!3m5!1s0x14cab99162d70527:0x64c8680b5ac198ab!2sGrand+Bazaar!8m2!3d41.0106848!4d28.9680681!3m4!1s0x14cab99162d70527:0x64c8680b5ac198ab!8m2!3d41.0106848!4d28.9680681",http://www.openstreetmap.org/?mlat=41.0106848&mlon=28.9680681!3m4!1s0x14cab99162d70527:0x64c8680b5ac198ab!8m2!/?mlat=41.0106848&mlon=28.9680681!3m4!1s0x14cab99162d70527:0x64c8680b5ac198ab!8m2!/?mlat=41.0106848&mlon=28.9680681#map=18/41.0106883/28.9680179&layers=D,osm-nominatim,28.96809033,41.0106868,,,Q505954,"en:Grand Bazaar, Istanbul"
Istanbul,OSM,ramya,Tourism,Hagia Sophia Museum,圣索非亚大教堂,https://batpad.github.io/quick-geocode/?name=Hagia%20Sophia%20Museum&city=Istanbul,"https://www.google.com/maps/search/Hagia+Sophia+Museum,+Istanbul/",way,109862851,,#N/A,quick-geocode,,,,,,tr:Ayasofya
Istanbul,OSM,jothi,Tourism,Istanbul Archaeological Museum,伊斯坦布尔考古博物馆,https://batpad.github.io/quick-geocode/?name=Istanbul%20Archaeological%20Museum&city=Istanbul,"https://www.google.com/maps/search/Istanbul+Archaeological+Museum,+Istanbul/",way,335374188,Q636978,#N/A,google,,,,,,tr:İstanbul Arkeoloji Müzeleri
Istanbul,OSM,ramya,Tourism,Nuruosmaniye Mosque,奴鲁奥斯玛尼耶清真寺,https://batpad.github.io/quick-geocode/?name=Nuruosmaniye%20Mosque&city=Istanbul,"https://www.google.com/maps/search/Nuruosmaniye+Mosque,+Istanbul/",way,111002484,,#N/A,quick-geocode,,,,,,en:Nuruosmaniye Mosque
Istanbul,OSM,arun,Tourism,Prince Islands,王子群岛,https://batpad.github.io/quick-geocode/?name=Prince%20Islands&city=Istanbul,"https://www.google.com/maps/search/Prince+Islands,+Istanbul/",relation,963209,"https://www.google.com/maps/place/Prince+Islands%2Fİstanbul,+Turkey/@40.8620569,29.1002534,13z/data=!3m1!4b1!4m5!3m4!1s0x14cac1836fcd740b:0x53b57c91c4d72968!8m2!3d40.8740929!4d29.0898721",http://www.openstreetmap.org/?mlat=40.8740929&mlon=72968!8m2!/?mlat=40.8740929&mlon=29.0898721#map=18/40.8620569/29.1002534&layers=D,,,,,,,tr:Prens Adaları
Istanbul,OSM,abhishek,Tourism,Tomb of Sultan Ahmet I,苏丹艾哈迈德墓一号,https://batpad.github.io/quick-geocode/?name=Tomb%20of%20Sultan%20Ahmet%20I&city=Istanbul,"https://www.google.com/maps/search/Tomb+of+Sultan+Ahmet+I,+Istanbul/",node,4146432391,,#N/A,osm-nominatim,,,Sultanahmet Camii,,,en:Sultan Ahmed Mosque
Jeju,OSM,ramya,Tourism,Halla University,汉拿大学,https://batpad.github.io/quick-geocode/?name=Halla%20University&city=Jeju,"https://www.google.com/maps/search/Halla+University,+Jeju/",way,370302697,,#N/A,quick-geocode,,,,,,ko:한라대학교
Jeju,OSM,Abhishek,Tourism,Jeju National University,济州大学,https://batpad.github.io/quick-geocode/?name=Jeju%20National%20University&city=Jeju,"https://www.google.com/maps/search/Jeju+National+University,+Jeju/",way,369809434,,#N/A,quick-geocode,,,,,,ko:제주대학교
Jeju,OSM,Abhishek,Tourism,Yongdusan,龙头岩,https://batpad.github.io/quick-geocode/?name=Yongdusan&city=Jeju,"https://www.google.com/maps/search/Yongdusan,+Jeju/",way,382696295,"https://www.google.com.pe/maps/place/Yongdusan+Park/@35.1003785,129.0321587,18.75z/data=!4m5!3m4!1s0x3568e90b3617c897:0xbe1730484bbfa93f!8m2!3d35.1006536!4d129.0326226?hl=en",http://www.openstreetmap.org/?mlat=35.1006536&mlon=129.0326226?hl=en#map=18/35.1003785/129.0321587&layers=D,google,,,,,,en:Yongdusan Park
