@type,@id,name,name:en,osm:wikipedia,osm:wikidata,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:zh,wiki:label:zh-hans,wiki:label:zh-cn,wiki:label:zh-hant,wiki:label:zh-hk,wiki:label:zh-tw,wiki:label:hi,wiki:label:es,wiki:label:fr,wiki:label:de,wiki:label:ja,wiki:label:ko,wiki:label:ru,wiki:label:pt,wiki:label:ar
node,110506070,Hội An,Hoi An,vi:Hội An,Q36160,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Hội An,Hội An,,會安市,,,,,,,Hội An,Hội An,Hội An,ホイアン,호이안,Хойан,Cidade Antiga de Hoi An,هوي أن
node,278516701,Puerto Princesa,Puerto Princesa,en:Puerto Princesa,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q111739,Puerto Princesa,Puerto Princesa,,普林塞薩港,普林塞萨港,,,,,,Puerto Princesa,Puerto Princesa,Puerto Princesa,プエルト・プリンセサ,푸에르토프린세사,Пуэрто-Принсеса,Puerto Princesa,بورتوبرنسس
node,198516371,Balanga,Balanga,"en:Balanga, Bataan",Q1719,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,No ja label,No ko label,ru Present,pt Present,No ar label,",,Balanga,"Balanga, Bataan",,,,,,,,,Balanga,Balanga,Balanga City,,,Баланга,Balanga,
node,27175814,Olongapo,Olongapo,en:Olongapo,Q56759,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,No ru label,No pt label,No ar label,",,Olongapo,Olongapo,,奥隆阿波,,,,,,,Olóngapo,Olongapo,Olongapo City,オロンガポ,올롱가포,,,
node,958923586,San Fernando,San Fernando,"en:San Fernando, Pampanga",,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",Q55740,San Fernando,"San Fernando, Pampanga",,圣费尔南多 (邦板牙),,,,,,,San Fernando,San Fernando,San Fernando,サンフェルナンド市,산페르난도,Сан-Фернандо (провинция Пампанга),,
node,3189500747,Mabalacat,,en:Mabalacat,,"No zh label,No zh-hans label,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",Q55737,Mabalacat,Mabalacat,,,,马巴拉卡特市,馬巴拉卡特市,,,,Mabalacat,Mabalacat,Mabalacat,マバラカット,,,,
node,27170104,Angeles,Angeles,"en:Angeles, Philippines",Q55741,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",,Angeles,"Angeles, Philippines",,安吉利斯,,,,,,,Ángeles,Ángeles,Angeles City,アンヘレス,앙헬레스,Анхелес,,
node,30917648,Tarlac City,Tarlac City,en:Tarlac City,Q5285,"No zh label,No zh-hans label,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",,Tarlac City,Tarlac City,,,,塔拉克 (菲律宾),塔拉克 (菲律賓),,,,Tarlac,Tarlac,Tarlac City,タルラック,타를라크,Тарлак,,
node,961071984,San Carlos,,,Q43165,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,No ja label,No ko label,No ru label,No pt label,No ar label,",,San Carlos,"San Carlos, Pangasinan",,聖卡洛斯 (邦阿西楠省),,,,,,,San Carlos,San Carlos,San Carlos City,,,,,
node,198530652,Alaminos,,"en:Alaminos, Pangasinan",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",Q43162,Alaminos,"Alaminos, Pangasinan",,阿拉米諾斯 (邦阿西楠省),阿拉米诺斯 (邦阿西楠省),,,,,,Alaminos,Alaminos,Alaminos,アラミノス (パンガシナン州),,,,
